trust_name,cik,issuer,asset_class,accession,filing_date,report_date,collection_period_end,distribution_date,exhibit_filename,exhibit_format,parser,pool_balance_begin,pool_balance_end,pool_factor,receivables_count_end,collections_total,collections_principal,collections_interest,gross_losses_period,recoveries_period,net_losses_period,cum_net_losses,cum_net_loss_ratio,delinq_31_60,delinq_61_90,delinq_91_plus,delinq_total_ratio,forbearance_balance,deferment_balance,claims_paid_period,reserve_account_balance,note_balance_total,servicing_fee
CarMax Auto Owner Trust 2024-1,2003263,CarMax,auto_prime,0002003263-24-000044,2024-09-16,2024-08-31,2024-08-31,2024-09-16,a2024-1ex991091624.htm,html,carmax_auto,1242740893.43,1198138325.41,0.7628915,65570.0,54276718.78,42569360.22,11707358.56,3104025.96,1071478.43,2032547.53,9195956.09,0.005874,25732147.93,12717242.96,3038060.89,0.034656,,,,3914142.67,1182481754.73,1035617.41
CarMax Auto Owner Trust 2024-1,2003263,CarMax,auto_prime,0002003263-25-000025,2025-05-15,2025-04-30,2025-04-30,2025-05-15,a2024-1ex991051525.htm,html,carmax_auto,930958689.01,895851061.26,0.5678674,52759.0,42532794.9,33994346.89,8538448.01,2097809.78,988661.43,1109148.35,21398368.79,0.013667,26032175.51,12432420.51,3011750.46,0.046298,,,,3914142.67,880194490.58,775798.91
CarMax Auto Owner Trust 2024-1,2003263,CarMax,auto_prime,0002003263-26-000005,2026-01-15,2025-12-31,2025-12-31,2026-01-15,a2024-1ex991011526.htm,html,carmax_auto,675243311.09,647591534.52,0.4077,41952.0,32622392.03,26279315.28,6343076.75,2213161.23,842156.26,1371004.97,33950957.64,0.021685,26134736.97,13139626.4,3038588.8,0.065339,,,,3914142.67,631934963.84,562702.76
CarMax Auto Owner Trust 2024-1,2003263,CarMax,auto_prime,0002003263-26-000042,2026-08-17,2026-07-31,2026-07-31,2026-08-17,a2024-1ex991081726.htm,html,carmax_auto,488411599.98,462790058.45,0.2884732,35458.0,29037403.26,24296824.17,4740579.09,2266864.8,945728.91,1321135.89,42271573.62,0.026999,20704093.35,10820272.63,2538451.98,0.07367,,,,3914142.67,447133487.77,407009.67
Ford Credit Auto Owner Trust 2024-D,2042453,Ford Credit,auto_prime,0002042453-24-000004,2024-12-18,2024-11-30,2024-11-01,2024-12-16,fcaot2024-d10xdinvestorrep.htm,html,ford_auto,1683369242.22,1637528478.66,0.9727684,41324.0,52157431.63,45633662.86,6523768.77,211.29,0.0,211.29,211.29,0.0,5435151.12,0.0,0.0,0.0033,,,,3947368.57,1532635916.2,1402807.7
Ford Credit Auto Owner Trust 2024-D,2042453,Ford Credit,auto_prime,0002042453-25-000030,2025-07-21,2025-06-30,2025-06-01,2025-07-15,fcaot2024-d10xdinvestorrep.htm,html,ford_auto,1352591625.57,1307740700.74,0.7768591,36751.0,49779146.99,44323407.35,5455739.64,534849.41,9884.36,524965.05,2422364.75,0.001439,8008559.03,1601110.06,988340.31,0.0081,,,,3947368.57,1209104545.03,1127159.69
Ford Credit Auto Owner Trust 2024-D,2042453,Ford Credit,auto_prime,0002042453-26-000008,2026-02-19,2026-01-31,2026-01-01,2026-02-17,fcaot2024-d10xdinvestorrep.htm,html,ford_auto,1045866110.61,1006720235.64,0.5980389,32026.0,43157586.58,38893036.5,4264550.08,438196.33,185357.86,252838.47,6557289.97,0.003895,10251286.4,1585661.5,1186755.7,0.0129,,,,3947368.57,917562102.3,871555.09
Ford Credit Auto Owner Trust 2024-D,2042453,Ford Credit,auto_prime,0002042453-26-000034,2026-08-24,2026-07-31,2026-07-01,2026-08-17,fcaot2024-d10xdinvestorrep.htm,html,ford_auto,810875124.54,773267806.64,0.4593572,27542.0,40415978.39,37105309.3,3310669.09,540586.91,106509.22,434077.69,9328479.75,0.005542,9222778.22,1729146.21,1031107.73,0.0155,,,,3947368.57,698403184.05,675729.27
Navient Student Loan Trust 2014-5,1613765,Navient,student_ffelp,0001140361-24-040336,2024-09-06,2024-07-31,2024-07-31,2024-08-26,ef20034592_ex99-1.htm,html,navient_ffelp,52203685.72,51096439.73,0.322359876,2253.0,1340724.58,1166634.33,208786.66,,,1913.95,701714.13,0.004494,2277222.64,1120429.65,1989841.78,0.106191,8116658.84,1965908.48,87744.67,158507.0,48514899.42,6532.94
Navient Student Loan Trust 2014-5,1613765,Navient,student_ffelp,0001140361-25-017877,2025-05-08,2025-03-31,2025-03-31,2025-04-25,ef20048153_ex99-1.htm,html,navient_ffelp,48230693.9,47762524.2,0.301326697,2076.0,610036.49,559175.22,93465.51,,,614.25,717719.71,0.004596,3114767.05,2804828.28,3070782.01,0.189012,6413033.74,2013624.88,107938.94,158507.0,45085399.66,6168.14
